,Passage,Group,Length,Accuracy Scores,Execution Times
0,New_York_Times_Politics.txt,short,176,"[0.08258928571428571, 0.18861607142857142, 0.35825892857142855, 0.9921875, 0.10379464285714286, 0.04799107142857143, 0.08482142857142858, 0.1328125, 0.0, 0.24665178571428573]","[3.953181028366089, 3.9575390815734863, 3.9473519325256348, 3.6783857345581055, 3.9901680946350098, 3.9981141090393066, 4.062259912490845, 4.0213189125061035, 4.031994819641113, 3.97575306892395]"
1,Lion_Witch_Wardrobe.txt,short,292,"[0.9982471516213848, 0.4014022787028922, 0.9982471516213848, 0.12620508326029797, 0.9982471516213848, 0.22962313759859773, 0.9982471516213848, 0.19982471516213848, 0.1200701139351446, 0.175284837861525]","[4.711219072341919, 4.811964750289917, 4.286787033081055, 4.901322841644287, 4.3359880447387695, 4.878197908401489, 4.37599515914917, 4.958992958068848, 4.867746114730835, 4.97309684753418]"
2,CS109_Course_Reader.txt,short,214,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.4914645103324349, 1.0]","[4.0167741775512695, 3.995011806488037, 4.071808099746704, 4.253690958023071, 4.032189846038818, 4.01020622253418, 4.0193400382995605, 3.9982709884643555, 4.490100860595703, 4.032894134521484]"
3,Federalist_Papers.txt,short,267,"[0.4046153846153846, 0.42538461538461536, 1.0, 1.0, 1.0, 1.0, 0.34307692307692306, 1.0, 1.0, 1.0]","[5.0224449634552, 5.135258197784424, 4.353782892227173, 4.370227098464966, 4.595392942428589, 4.384702920913696, 5.141758918762207, 4.443928956985474, 4.404757022857666, 4.360842943191528]"
4,Harry_Potter.txt,short,258,"[0.9990706319702602, 0.9990706319702602, 0.24628252788104088, 0.9990706319702602, 0.9990706319702602, 0.9990706319702602, 0.9990706319702602, 0.9990706319702602, 0.9981412639405205, 0.5752788104089219]","[4.15968918800354, 4.134139776229858, 4.6549458503723145, 4.198841094970703, 4.101994037628174, 4.178694248199463, 4.47291898727417, 4.1281468868255615, 4.134829044342041, 4.632272958755493]"
5,UN_Adaptation_Gap_Report.txt,short,191,"[0.22284122562674094, 0.42618384401114207, 0.37047353760445684, 0.3556174558960074, 0.0436397400185701, 0.07799442896935933, 0.1467038068709378, 0.09285051067780872, 1.0, 0.28133704735376047]","[4.511101961135864, 4.479846954345703, 4.5575127601623535, 4.57451605796814, 4.65584921836853, 4.565205097198486, 4.587289094924927, 4.544651985168457, 4.050076723098755, 4.546498775482178]"
6,Pride_and_Prejudice.txt,short,286,"[0.4284649776453055, 0.21162444113263784, 0.1527570789865872, 0.9985096870342772, 0.17287630402384502, 0.6259314456035767, 0.2965722801788376, 0.12965722801788376, 0.07302533532041729, 0.1497764530551416]","[5.189467191696167, 5.239970922470093, 5.191115856170654, 4.618823289871216, 5.293475151062012, 5.146393060684204, 5.171803951263428, 5.304732084274292, 5.203263998031616, 5.280454158782959]"
7,To_Kill_A_Mockingbird.txt,short,295,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3497822931785196, 0.42017416545718433, 1.0, 1.0]","[4.6265339851379395, 4.631129026412964, 4.660083293914795, 4.700419902801514, 4.640224933624268, 4.652094841003418, 5.298597097396851, 5.3434898853302, 4.597521066665649, 4.6641011238098145]"
8,New_York_Times_Politics.txt,medium,688,"[0.14090774250964105, 0.458320973005043, 0.9949569860575497, 0.21358647285671908, 0.19756748739246516, 0.9949569860575497, 0.9949569860575497, 0.9949569860575497, 0.28567190744586174, 0.19756748739246516]","[10.907810926437378, 10.659612894058228, 9.335298776626587, 10.884768009185791, 10.92605996131897, 9.071300983428955, 9.314365863800049, 9.132470846176147, 10.695858001708984, 10.84930682182312]"
9,Lion_Witch_Wardrobe.txt,medium,753,"[0.0010211027910142954, 1.0, 1.0, 0.2607215793056501, 0.18822328114363512, 1.0, 1.0, 1.0, 1.0, 1.0]","[9.940876960754395, 8.301748991012573, 8.506699085235596, 10.127475023269653, 9.844740152359009, 8.349453926086426, 8.335860967636108, 8.387139797210693, 8.303641080856323, 8.48369812965393]"
